comment_score,Negative,Positive
1959,1,1
1354,1,0
61,0.91025641,0.615384615
303,0.857142857,0.714285714
1309,1,1
-57,1,0.625
-114,0.666666667,1
1348,1,1
-48,0.923076923,0.461538462
379,1,0
3932,1,0
995,1,0
1392,1,0
940,1,0
567,0.5,1
192,1,0.666666667
213,1,0.692307692
-39,0.875,0.75
573,0.666666667,0.333333333
337,1,0
7201,0,1
440,1,0
1264,1,0
473,1,1
454,1,1
653,1,0
156,0.9,0.6
841,1,1
-68,1,0.75
636,1,0.5
628,1,0
160,1,0.375
283,1,0.4
3,0.924064108,0.569282631
576,1,0.5
979,0.5,0.5
382,0.75,0.5
206,0.888888889,0.777777778
478,0.666666667,0.333333333
618,1,0.666666667
10085,1,0
2202,1,1
37,0.922077922,0.606060606
101,0.967741935,0.741935484
776,1,0
431,1,0
292,1,1
-8,0.892086331,0.642685851
-14,0.857142857,0.607142857
83,0.961538462,0.557692308
362,0.5,1
1265,1,1
-106,1,0.5
-44,0.818181818,0.454545455
-63,0.4,0.8
491,1,1
-73,0.666666667,1
919,1,0
12,0.927263479,0.593082401
-33,0.833333333,0.666666667
200,1,0.444444444
355,1,0.25
295,1,0.75
1466,1,0
1803,1,1
141,0.909090909,0.272727273
879,1,0
55,0.918699187,0.430894309
544,1,1
1056,1,0.5
373,1,0
614,1,1
74,0.829787234,0.595744681
-72,1,0.666666667
280,0.75,0.75
390,1,0.4
492,1,0.5
996,1,0
322,1,0
8,0.92072689,0.55886226
62,0.942857143,0.457142857
182,1,0.727272727
668,1,0.5
4313,1,0
658,1,0.5
6603,1,0
334,1,1
1261,1,1
1062,1,1
2532,1,1
1664,1,0
1355,1,0
11499,1,1
1225,1,1
2539,1,0
186,1,0.666666667
4433,1,1
1096,1,0
1113,1,0
331,1,0.666666667
-70,0.6,0.8
1481,1,1
1982,1,0
1619,1,1
1522,1,1
710,1,1
1154,1,1
-37,0.947368421,0.526315789
171,0.928571429,0.214285714
792,1,0
631,1,1
11,0.926211926,0.570570571
49,0.977443609,0.526315789
290,0.833333333,0.5
716,1,0
437,1,0.5
1423,1,0
514,1,1
803,1,0
35,0.939849624,0.545112782
1725,1,0
639,1,1
2433,1,0
507,1,1
1393,1,0
371,0.75,0.75
-54,0.666666667,0.666666667
-12,0.888349515,0.587378641
166,0.909090909,0.363636364
1001,1,0
260,1,0.8
80,0.96,0.54
622,1,1
-105,0,1
778,1,1
807,1,0
2254,1,1
-4,0.865758755,0.611867704
400,1,0.333333333
321,1,0.8
785,1,0
327,1,0.666666667
380,1,1
1418,1,1
1235,1,0
750,1,1
199,1,0.333333333
477,1,0.75
1727,1,1
5347,1,0
1161,0,1
2,0.922189681,0.573308746
269,1,0.75
518,1,0
1653,1,1
-10,0.89453125,0.6796875
66,0.961538462,0.564102564
-137,1,1
154,1,0.52
-53,0.9,0.5
265,0.6,0.8
432,1,1
6052,1,0
520,1,1
-78,1,0.666666667
1752,1,1
244,1,0
869,1,0
344,0.5,0.5
162,0.857142857,0.571428571
615,1,1
689,1,0
525,0.5,1
1515,1,0
428,1,0
2752,1,1
433,1,1
553,1,1
605,1,1
164,0.916666667,0.583333333
-34,0.923076923,0.653846154
875,1,1
1076,1,1
-117,0.666666667,1
503,1,1
2229,1,0
931,0,1
176,0.909090909,0.545454545
360,1,0.6
495,0.666666667,0.666666667
986,1,0
134,0.947368421,0.421052632
504,1,0
-203,1,0
245,1,0.8
329,1,0.666666667
-62,1,0.666666667
645,1,1
3363,1,1
-75,1,0.857142857
634,1,1
359,1,0.333333333
422,1,0
102,0.967741935,0.516129032
76,0.903846154,0.5
175,1,0.857142857
426,1,0
-40,0.961538462,0.653846154
565,1,0
1182,0,1
745,0.5,0.5
233,1,0
506,1,1
827,1,1
684,1,0
4,0.922492597,0.574224282
92,0.975,0.5
1088,1,1
163,1,0.666666667
391,0.5,1
230,0.5,0.5
1408,1,1
308,1,0.666666667
930,1,1
604,1,1
1317,1,1
1095,1,1
118,1,0.708333333
805,1,1
524,1,1
13,0.941389728,0.56918429
272,0.5,0.25
1455,0,1
568,1,1
765,1,0.5
687,1,1
305,1,0.666666667
652,1,1
1600,1,1
36,0.928838951,0.561797753
75,0.941176471,0.490196078
603,1,1
2678,1,1
302,1,0.333333333
613,1,0.5
-23,0.927272727,0.654545455
172,1,0.333333333
2237,1,1
78,0.896551724,0.517241379
314,1,0.571428571
408,1,0
924,1,1
4106,1,1
579,1,0
2385,1,1
-83,1,1
5657,1,1
2262,1,0
5584,1,1
-32,0.806451613,0.612903226
8322,1,1
672,1,1
18,0.941495125,0.553629469
410,1,0.333333333
125,0.913043478,0.608695652
140,1,0.642857143
533,1,0
298,0.8,0.2
289,1,0
607,1,1
1129,1,0
-51,0.909090909,0.636363636
-59,0.8,0.6
1036,1,1
1070,1,0.5
1552,1,1
69,0.933333333,0.466666667
4384,1,0
475,1,0.5
14,0.925033467,0.546854083
860,1,0
374,1,0.25
1318,1,1
935,1,1
733,1,1
594,1,1
3718,1,0
286,1,0.8
216,0.727272727,0.636363636
2689,1,1
767,1,1
2780,1,0
1170,1,1
864,1,0
583,1,0.5
3978,1,1
194,1,0.5
137,1,0.9375
173,0.9,0.5
505,1,0.666666667
626,1,0.5
692,1,0
21,0.944759207,0.566572238
238,1,0.428571429
135,0.944444444,0.444444444
547,1,0.5
877,1,0.5
-85,0.5,1
2292,1,1
9612,1,0
59,0.91011236,0.606741573
129,0.916666667,0.583333333
122,0.9375,0.5625
1470,1,0
372,1,1
542,1,0
335,1,0.666666667
960,1,1
310,1,0
627,1,1
313,1,0.75
493,1,0.333333333
1385,1,0
868,1,1
15,0.924662966,0.587628866
-22,0.838235294,0.705882353
81,0.972222222,0.5
165,0.9,0.6
223,0.888888889,0.333333333
878,1,0
315,1,1
1701,1,0
195,0.923076923,0.615384615
436,1,0.75
180,0.916666667,0.583333333
438,1,0.5
648,0.5,0.5
811,1,0
38,0.92893401,0.598984772
82,0.934782609,0.456521739
1871,1,1
350,1,1
523,1,1
1396,1,1
695,1,1
133,0.894736842,0.421052632
97,1,0.676470588
663,1,1
470,1,0.333333333
-69,1,0
351,1,1
708,1,0
30,0.921787709,0.555865922
73,0.87037037,0.444444444
42,0.943037975,0.607594937
-43,1,0.692307692
582,1,0.5
401,1,0
151,0.9375,0.4375
1180,1,1
1028,1,1
895,1,1
90,1,0.479166667
690,0.666666667,0.666666667
256,1,0.666666667
159,1,0.428571429
3450,1,1
457,1,0.5
709,1,0
-64,0.8,0.8
685,1,0.5
312,1,0.5
338,1,0.5
2073,1,1
4149,1,1
445,1,1
674,1,0
297,1,0.5
764,1,0
23,0.917508418,0.545454545
117,0.90625,0.625
291,1,0.142857143
1961,0,0
121,0.884615385,0.576923077
6869,1,0
-9,0.933526012,0.60982659
-56,0.833333333,0.5
-42,0.842105263,0.578947368
46,0.941558442,0.551948052
358,1,0.6
494,1,0
217,1,0.272727273
987,1,0
284,1,0.5
20,0.937904269,0.54851229
70,0.944444444,0.527777778
-74,1,0.75
848,1,1
5790,1,1
1680,1,0
-92,1,0.5
1178,1,0
300,1,0.714285714
781,1,1
1133,1,0
1004,1,0.5
-11,0.861423221,0.65917603
99,0.961538462,0.384615385
444,1,1
510,1,1
617,1,0
630,1,0
-93,1,0.333333333
231,1,0.666666667
12374,1,0
387,1,0
2631,1,1
-89,0.5,1
86,1,0.680851064
-20,0.911392405,0.632911392
109,0.846153846,0.5
640,1,0
483,1,0.333333333
4196,1,0
1450,0,1
-113,1,0.5
793,1,0.5
770,1,0
862,1,1
60,0.928571429,0.630952381
189,0.875,0.625
1270,1,0
545,1,1
2345,1,1
-21,0.848837209,0.686046512
311,1,0.857142857
-99,0.5,0.5
1411,1,0
798,1,0.5
578,1,0
-31,0.875,0.65625
1835,1,0
93,0.916666667,0.555555556
888,1,0
569,1,0.5
969,0.5,1
566,1,1
717,1,0
